x_metric,y_metric,x_col,y_col,lag_days,correlation,p_value,significant,n
Steps,Battery,activity_steps,body_battery_charged,1,0.1500381077384585,0.012742604824158425,True,275
Active Cal,Sleep Hours,activity_active_calories,sleep_total_hours,1,0.001298477045033844,0.9831835986051779,False,266
Active Cal,Sleep Score,activity_active_calories,sleep_score,1,-0.04623591343344566,0.4526915870819977,False,266
Active Cal,HRV,activity_active_calories,hrv_last_night_avg,1,-0.05057616944279246,0.4113537948143338,False,266
Active Cal,Steps,activity_active_calories,activity_steps,1,0.13128611958371678,0.029506928350943925,True,275
Active Cal,Active Cal,activity_active_calories,activity_active_calories,1,0.3104025698656788,1.485448541623263e-07,True,275
Active Cal,Resting HR,activity_active_calories,activity_resting_hr,1,0.1960383589828112,0.0010835378053430861,True,275
Active Cal,Battery,activity_active_calories,body_battery_charged,1,0.11321336124433967,0.06080486088920724,False,275
Resting HR,Sleep Hours,activity_resting_hr,sleep_total_hours,1,0.1331813503339146,0.029887703534926258,True,266
Resting HR,Sleep Score,activity_resting_hr,sleep_score,1,0.1110185059042671,0.07064980050256306,False,266
Resting HR,HRV,activity_resting_hr,hrv_last_night_avg,1,-0.38116390758748725,1.2613632160860476e-10,True,266
Resting HR,Steps,activity_resting_hr,activity_steps,1,-0.22162916756351417,0.0002116074361064232,True,275
Resting HR,Active Cal,activity_resting_hr,activity_active_calories,1,0.09458492284348813,0.11761124811894637,False,275
Resting HR,Resting HR,activity_resting_hr,activity_resting_hr,1,0.6902712632440661,3.0043290944146846e-40,True,275
Resting HR,Battery,activity_resting_hr,body_battery_charged,1,-0.10522676611297209,0.08152961048631904,False,275
Battery,Sleep Hours,body_battery_charged,sleep_total_hours,1,0.03713762244321103,0.5464741764541471,False,266
Battery,Sleep Score,body_battery_charged,sleep_score,1,0.019294532003816638,0.7541048110273763,False,266
Battery,HRV,body_battery_charged,hrv_last_night_avg,1,0.33924280657827005,1.3785321389147934e-08,True,266
Battery,Steps,body_battery_charged,activity_steps,1,0.22725017930370955,0.00014399471419922978,True,275
Battery,Active Cal,body_battery_charged,activity_active_calories,1,0.1493503422592567,0.013162764776215474,True,275
Battery,Resting HR,body_battery_charged,activity_resting_hr,1,-0.2573911075559874,1.5465936935334684e-05,True,275
Battery,Battery,body_battery_charged,body_battery_charged,1,0.15316792253973305,0.010976107539367456,True,275
Sleep Hours,Sleep Hours,sleep_total_hours,sleep_total_hours,2,0.20923084182905471,0.0007737394251788467,True,255
Sleep Hours,Sleep Score,sleep_total_hours,sleep_score,2,0.1461391311843306,0.01955713145421638,True,255
Sleep Hours,HRV,sleep_total_hours,hrv_last_night_avg,2,-0.06747411345856821,0.28308932786212426,False,255
Sleep Hours,Steps,sleep_total_hours,activity_steps,2,0.0909369711415329,0.14059081578721144,False,264
Sleep Hours,Active Cal,sleep_total_hours,activity_active_calories,2,0.14974173259368784,0.014882913884021428,True,264
Sleep Hours,Resting HR,sleep_total_hours,activity_resting_hr,2,0.061677441706457115,0.31811681673576103,False,264
Sleep Hours,Battery,sleep_total_hours,body_battery_charged,2,0.12137954306092313,0.04882508851170482,True,264
Sleep Score,Sleep Hours,sleep_score,sleep_total_hours,2,0.15387434807974398,0.013902572674244667,True,255
Sleep Score,Sleep Score,sleep_score,sleep_score,2,0.12881393539461758,0.03983474068836224,True,255
Sleep Score,HRV,sleep_score,hrv_last_night_avg,2,-0.07651110635616987,0.22338847515679838,False,255
Sleep Score,Steps,sleep_score,activity_steps,2,0.09162572477485174,0.1375961694193487,False,264
Sleep Score,Active Cal,sleep_score,activity_active_calories,2,0.13831838102223587,0.02460442777884034,True,264
Sleep Score,Resting HR,sleep_score,activity_resting_hr,2,0.0039016143456594293,0.9496923259733426,False,264
